2025-08-01 13:32:17 | INFO | main | Iniciando exploração da API Scryfall
2025-08-01 13:32:17 | INFO | __init__ | ScryfallExplorer inicializado
2025-08-01 13:32:17 | INFO | explore_sets | Explorando endpoint /set
2025-08-01 13:32:17 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/set
2025-08-01 13:32:18 | ERROR | _make_request | Erro na requisição para https://api.scryfall.com/set: 404 Client Error: Not Found for url: https://api.scryfall.com/set
2025-08-01 13:32:18 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/sets_analysis.json
2025-08-01 13:32:18 | INFO | explore_cards | Explorando cartas do set: dom
2025-08-01 13:32:18 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/cards/search
2025-08-01 13:32:18 | INFO | _make_request | Parâmetros: {'q': 'set:dom', 'page': 1}
2025-08-01 13:32:18 | SUCCESS | _make_request | Requsição bem-sucessida - Status: 200
2025-08-01 13:32:18 | INFO | explore_cards | Análise completa: 265 cartas no set dom
2025-08-01 13:32:18 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/cards_analysis.json
2025-08-01 13:32:18 | INFO | explore_catalog | Explorando catálogo: creature-types
2025-08-01 13:32:18 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/catalog/creature-types
2025-08-01 13:32:19 | SUCCESS | _make_request | Requsição bem-sucessida - Status: 200
2025-08-01 13:32:19 | INFO | explore_catalog | Catálogo creature-types: 322 itens
2025-08-01 13:32:19 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/catalog_creature_typesanalysis.json
2025-08-01 13:32:19 | INFO | explore_catalog | Explorando catálogo: card-names
2025-08-01 13:32:19 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/catalog/card-names
2025-08-01 13:32:20 | SUCCESS | _make_request | Requsição bem-sucessida - Status: 200
2025-08-01 13:32:20 | INFO | explore_catalog | Catálogo card-names: 32404 itens
2025-08-01 13:32:20 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/catalog_card_namesanalysis.json
2025-08-01 13:32:20 | INFO | explore_catalog | Explorando catálogo: colors
2025-08-01 13:32:20 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/catalog/colors
2025-08-01 13:32:20 | ERROR | _make_request | Erro na requisição para https://api.scryfall.com/catalog/colors: 404 Client Error: Not Found for url: https://api.scryfall.com/catalog/colors
2025-08-01 13:32:20 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/catalog_colorsanalysis.json
2025-08-01 13:32:20 | INFO | main | Exploração da API Scryfall concluída
2025-08-01 13:35:05 | INFO | main | Iniciando exploração da API Scryfall
2025-08-01 13:35:05 | INFO | __init__ | ScryfallExplorer inicializado
2025-08-01 13:35:05 | INFO | explore_sets | Explorando endpoint /set
2025-08-01 13:35:05 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/set
2025-08-01 13:35:06 | ERROR | _make_request | Erro na requisição para https://api.scryfall.com/set: 404 Client Error: Not Found for url: https://api.scryfall.com/set
2025-08-01 13:35:06 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/sets_analysis.json
2025-08-01 13:35:06 | INFO | explore_cards | Explorando cartas do set: dom
2025-08-01 13:35:06 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/cards/search
2025-08-01 13:35:06 | INFO | _make_request | Parâmetros: {'q': 'set:dom', 'page': 1}
2025-08-01 13:35:06 | SUCCESS | _make_request | Requisição bem-sucessida - Status: 200
2025-08-01 13:35:06 | INFO | explore_cards | Análise completa: 265 cartas no set dom
2025-08-01 13:35:06 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/cards_analysis.json
2025-08-01 13:35:06 | INFO | explore_catalog | Explorando catálogo: creature-types
2025-08-01 13:35:06 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/catalog/creature-types
2025-08-01 13:35:06 | SUCCESS | _make_request | Requisição bem-sucessida - Status: 200
2025-08-01 13:35:06 | INFO | explore_catalog | Catálogo creature-types: 322 itens
2025-08-01 13:35:06 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/catalog_creature_typesanalysis.json
2025-08-01 13:35:07 | INFO | explore_catalog | Explorando catálogo: card-names
2025-08-01 13:35:07 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/catalog/card-names
2025-08-01 13:35:08 | SUCCESS | _make_request | Requisição bem-sucessida - Status: 200
2025-08-01 13:35:08 | INFO | explore_catalog | Catálogo card-names: 32404 itens
2025-08-01 13:35:08 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/catalog_card_namesanalysis.json
2025-08-01 13:35:08 | INFO | explore_catalog | Explorando catálogo: colors
2025-08-01 13:35:08 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/catalog/colors
2025-08-01 13:35:08 | ERROR | _make_request | Erro na requisição para https://api.scryfall.com/catalog/colors: 404 Client Error: Not Found for url: https://api.scryfall.com/catalog/colors
2025-08-01 13:35:08 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/catalog_colorsanalysis.json
2025-08-01 13:35:08 | INFO | main | Exploração da API Scryfall concluída
2025-08-01 13:48:17 | INFO | main | Iniciando exploração da API Scryfall
2025-08-01 13:48:17 | INFO | __init__ | ScryfallExplorer inicializado
2025-08-01 13:48:17 | INFO | explore_sets | Explorando endpoint /set
2025-08-01 13:48:17 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/set
2025-08-01 13:48:17 | ERROR | _make_request | Erro na requisição para https://api.scryfall.com/set: 404 Client Error: Not Found for url: https://api.scryfall.com/set
2025-08-01 13:48:17 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/sets_analysis.json
2025-08-01 13:48:17 | INFO | explore_cards | Explorando cartas do set: dom
2025-08-01 13:48:17 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/cards/search
2025-08-01 13:48:17 | INFO | _make_request | Parâmetros: {'q': 'set:dom', 'page': 1}
2025-08-01 13:48:18 | SUCCESS | _make_request | Requisição bem-sucessida - Status: 200
2025-08-01 13:48:18 | INFO | explore_cards | Análise completa: 265 cartas no set dom
2025-08-01 13:48:18 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/cards_analysis.json
2025-08-01 13:48:18 | INFO | explore_catalog | Explorando catálogo: creature-types
2025-08-01 13:48:18 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/catalog/creature-types
2025-08-01 13:48:18 | SUCCESS | _make_request | Requisição bem-sucessida - Status: 200
2025-08-01 13:48:18 | INFO | explore_catalog | Catálogo creature-types: 322 itens
2025-08-01 13:48:18 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/catalog_creature_types_analysis.json
2025-08-01 13:48:18 | INFO | explore_catalog | Explorando catálogo: card-names
2025-08-01 13:48:18 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/catalog/card-names
2025-08-01 13:48:19 | SUCCESS | _make_request | Requisição bem-sucessida - Status: 200
2025-08-01 13:48:19 | INFO | explore_catalog | Catálogo card-names: 32404 itens
2025-08-01 13:48:19 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/catalog_card_names_analysis.json
2025-08-01 13:48:19 | INFO | explore_catalog | Explorando catálogo: colors
2025-08-01 13:48:19 | INFO | _make_request | Fazendo requisição para: https://api.scryfall.com/catalog/colors
2025-08-01 13:48:20 | ERROR | _make_request | Erro na requisição para https://api.scryfall.com/catalog/colors: 404 Client Error: Not Found for url: https://api.scryfall.com/catalog/colors
2025-08-01 13:48:20 | SUCCESS | save_exploration_results | Resultados salvos em: data/exploration/catalog_colors_analysis.json
2025-08-01 13:48:20 | INFO | main | Exploração da API Scryfall concluída
2025-08-05 13:05:08 | INFO | main | Iniciando exploração da API Scryfall
